Foldername,sentenceID,sentence,citations,citation_titles,citation_authors,PaperID,ParagraphID,Bibliography used
usable_dataset/0112.02618,urn:uuid:56a44393-9b25-35e7-bfec-953cc3ab1465,al  propose a hybridisation of value and policy-based methods that uses mutual information to learn a diverse set of behaviours between agents.,['mahajan2019maven'],['Maven: Multi-agent variational exploration'],"[[Person('Mahajan, Anuj'), Person('Rashid, Tabish'), Person('Samvelyan, Mikayel'), Person('Whiteson, Shimon')]]",urn:uuid:5247bc16-88d7-3223-b0e2-27f6abc0c51a,urn:uuid:ab4dc50e-e0ec-35ce-a38a-a00a8ac8110f,usable_dataset/0112.02618/biblio.bib
usable_dataset/0112.02618,urn:uuid:ff4ae57e-2c52-3200-9f8f-bd59ea9b4c00,Other approaches to promote exploration in MARL while assuming aspects of the environment are known in advance and agents can perform perfect communication between themselves .,['viseras2016decentralized'],['Decentralized multi-agent exploration with online-learning of gaussian processes'],"[[Person('Viseras, Alberto'), Person('Wiedemann, Thomas'), Person('Manss, Christoph'), Person('Magel, Lukas'), Person('Mueller, Joachim'), Person('Shutin, Dmitriy'), Person('Merino, Luis')]]",urn:uuid:5247bc16-88d7-3223-b0e2-27f6abc0c51a,urn:uuid:ab4dc50e-e0ec-35ce-a38a-a00a8ac8110f,usable_dataset/0112.02618/biblio.bib
usable_dataset/0112.02618,urn:uuid:388c21ee-08cb-3f3b-83f4-98387aefe816,"Similarly, to promote coordinated exploration in partially observable settings,    propose end-to-end learning of a communication protocol through a memory device.",['pesce2020improving'],['Improving coordination in small-scale multi-agent deep reinforcement learning through memory-driven communication'],"[[Person('Pesce, Emanuele'), Person('Montana, Giovanni')]]",urn:uuid:5247bc16-88d7-3223-b0e2-27f6abc0c51a,urn:uuid:ab4dc50e-e0ec-35ce-a38a-a00a8ac8110f,usable_dataset/0112.02618/biblio.bib
usable_dataset/0112.02618,urn:uuid:7b557481-db9f-33ff-b1bd-00876828aade,Reward shaping  (RS) is a technique which aims to alleviate the problem of sparse and uninformative rewards by supplementing the agent's reward with a prefixed term .,['harutyunyan2015expressing'],['Expressing arbitrary reward functions as potential-based advice'],"[[Person('Harutyunyan, Anna'), Person('Devlin, Sam'), Person('Vrancx, Peter'), Person(""Now{\\'e}, Ann"")]]",urn:uuid:5247bc16-88d7-3223-b0e2-27f6abc0c51a,urn:uuid:85150ba9-c136-3e45-8af9-abaf28151270,usable_dataset/0112.02618/biblio.bib
usable_dataset/0112.02618,urn:uuid:f3912a7c-cd0b-3a12-b88d-cdd6cbe98d2c,In  it was established that adding a shaping reward function of the form  preserves the optimal policy and in some cases can aid learning.,['ng1999policy'],['Policy invariance under reward transformations: Theory and application to reward shaping'],"[[Person('Ng, Andrew Y'), Person('Harada, Daishi'), Person('Russell, Stuart')]]",urn:uuid:5247bc16-88d7-3223-b0e2-27f6abc0c51a,urn:uuid:cb9c06d1-85da-35e2-94c3-8bb0160c6f23,usable_dataset/0112.02618/biblio.bib
usable_dataset/0112.02618,urn:uuid:8a949b9e-8565-334c-ac5d-13702ce27ca9,RS has been extended to MAS  in which it is used to promote convergence to efficient social welfare outcomes.,"['devlin2011empirical', 'mannion2018reward', 'devlin2011theoretical', 'devlin2012dynamic', 'devlin2016plan', 'sadeghlou2014dynamic']","['An empirical study of potential-based reward shaping and advice in complex, multi-agent systems', 'Reward shaping for knowledge-based multi-objective multi-agent reinforcement learning', 'Theoretical considerations of potential-based reward shaping for multi-agent systems', 'Dynamic potential-based reward shaping', 'Plan-based reward shaping for multi-agent reinforcement learning', 'Dynamic agent-based reward shaping for multi-agent systems']","[[Person('Devlin, Sam'), Person('Kudenko, Daniel'), Person(""Grze{\\'s}, Marek"")], [Person('Mannion, Patrick'), Person('Devlin, Sam'), Person('Duggan, Jim'), Person('Howley, Enda')], [Person('Devlin, Sam'), Person('Kudenko, Daniel')], [Person('Devlin, Sam Michael'), Person('Kudenko, Daniel')], [Person('Devlin, Sam'), Person('Kudenko, Daniel')], [Person('Sadeghlou, Maryam'), Person('Akbarzadeh-T, Mohammad Reza'), Person('Naghibi-S, Mohammad Bagher')]]",urn:uuid:5247bc16-88d7-3223-b0e2-27f6abc0c51a,urn:uuid:cb9c06d1-85da-35e2-94c3-8bb0160c6f23,usable_dataset/0112.02618/biblio.bib
usable_dataset/0112.02618,urn:uuid:0037477d-d18a-3cb7-9aa3-7a0c7f3c3050,Poor choices of  in a MAS can slow the learning process and          can induce convergence to poor system performance .,['devlin2011theoretical'],['Theoretical considerations of potential-based reward shaping for multi-agent systems'],"[[Person('Devlin, Sam'), Person('Kudenko, Daniel')]]",urn:uuid:5247bc16-88d7-3223-b0e2-27f6abc0c51a,urn:uuid:cb9c06d1-85da-35e2-94c3-8bb0160c6f23,usable_dataset/0112.02618/biblio.bib
usable_dataset/0112.02618,urn:uuid:8ad02bf7-3ce4-3ff3-833f-8232390b5df1,"Typically, RS algorithms rely on hand-crafted shaping reward functions that are constructed using domain knowledge, contrary to the goal of autonomous learning .",['devlin2011theoretical'],['Theoretical considerations of potential-based reward shaping for multi-agent systems'],"[[Person('Devlin, Sam'), Person('Kudenko, Daniel')]]",urn:uuid:5247bc16-88d7-3223-b0e2-27f6abc0c51a,urn:uuid:cb9c06d1-85da-35e2-94c3-8bb0160c6f23,usable_dataset/0112.02618/biblio.bib
usable_dataset/0112.02618,urn:uuid:5ecec582-d2ba-3a91-9408-7a2065622d30,In  an approach towards learning intrinsic rewards is proposed in which a parameterised intrinsic reward is learned using a bilevel approach through a centralised critic.,['du2019liir'],['Liir: Learning individual intrinsic reward in multi-agent reinforcement learning'],"[[Person('Du, Yali'), Person('Han, Lei'), Person('Fang, Meng'), Person('Liu, Ji'), Person('Dai, Tianhong'), Person('Tao, Dacheng')]]",urn:uuid:5247bc16-88d7-3223-b0e2-27f6abc0c51a,urn:uuid:cb9c06d1-85da-35e2-94c3-8bb0160c6f23,usable_dataset/0112.02618/biblio.bib
usable_dataset/0112.02618,urn:uuid:6f7b828a-35ad-3560-9ade-3a3a524a3d3b,"Loosely related are single-agent methods  which, in general, introduce heuristic terms to generate intrinsic rewards.","['zheng2018learning', 'dilokthanakul2019feature', 'kulkarni2016hierarchical', 'pathak2017curiosity']","['On learning intrinsic rewards for policy gradient methods', 'Feature control as intrinsic motivation for hierarchical reinforcement learning', 'Hierarchical deep reinforcement learning: Integrating temporal abstraction and intrinsic motivation', 'Curiosity-driven exploration by self-supervised prediction']","[[Person('Zheng, Zeyu'), Person('Oh, Junhyuk'), Person('Singh, Satinder')], [Person('Dilokthanakul, Nat'), Person('Kaplanis, Christos'), Person('Pawlowski, Nick'), Person('Shanahan, Murray')], [Person('Kulkarni, Tejas D'), Person('Narasimhan, Karthik'), Person('Saeedi, Ardavan'), Person('Tenenbaum, Josh')], [Person('Pathak, Deepak'), Person('Agrawal, Pulkit'), Person('Efros, Alexei A'), Person('Darrell, Trevor')]]",urn:uuid:5247bc16-88d7-3223-b0e2-27f6abc0c51a,urn:uuid:cb9c06d1-85da-35e2-94c3-8bb0160c6f23,usable_dataset/0112.02618/biblio.bib
